管理类联考::第一章::整数与自然数	<b>【定义】整数与自然数</b>	<div class="latex-box box-purple"><ul><li><b>整数</b>：包括正整数、0 和负整数。</li><li><b>正整数</b>：\(1, 2, 3, \dots\)</li><li><b>自然数</b>：\(0\) 和正整数（即非负整数）。<br><span style="color:#e74c3c">（注：考纲明确规定 0 是自然数）</span></li></ul></div>
管理类联考::第一章::奇数与偶数	<b>【定义】奇数与偶数</b>	<div class="latex-box box-purple"><ul><li><b>奇数</b>：不能被 2 整除的整数。<br>通式：\(2k+1\) (\(k \in \mathbb{Z}\))。</li><li><b>偶数</b>：能被 2 整除的整数。<br>通式：\(2k\) (\(k \in \mathbb{Z}\))。<br><span style="color:#e74c3c">（注：0 是偶数）</span></li></ul></div>
管理类联考::第一章::奇偶运算性质	<b>【性质】奇偶运算口诀</b>	<div class="latex-box box-green"><b>加减法（同性偶，异性奇）：</b><ul><li>奇 \(\pm\) 奇 = 偶</li><li>偶 \(\pm\) 偶 = 偶</li><li>奇 \(\pm\) 偶 = 奇</li></ul><b>乘法（有偶则偶）：</b><ul><li>奇 \(\times\) 奇 = 奇</li><li>奇 \(\times\) 偶 = 偶</li><li>偶 \(\times\) 偶 = 偶</li></ul></div>
管理类联考::第一章::奇偶重要结论	<b>【结论】奇偶性重要推论</b>	<div class="latex-box box-purple"><ul><li><b>0 是偶数</b>。</li><li>两个<b>相邻整数</b>必为一奇一偶，其积为偶数。</li><li>若干个数相乘，<b>只要有一个偶数</b>，积即为偶数。</li><li><b>奇数个奇数</b>相加 = 奇数；<b>偶数个奇数</b>相加 = 偶数。</li><li>任意两个自然数的<b>和与差</b>奇偶性相同。</li></ul></div>
管理类联考::第一章::质数	<b>【定义】质数 (素数)</b>	<div class="latex-box box-purple">大于 1 的正整数，只能被 1 和它本身整除。<br>例如：2, 3, 5, 7, 11...</div>
管理类联考::第一章::合数	<b>【定义】合数</b>	<div class="latex-box box-purple">大于 1 的正整数，除了 1 和本身外还能被其他正整数整除。<br>例如：4, 6, 8, 9...</div>
管理类联考::第一章::质数性质	<b>【性质】质数的关键性质</b>	<div class="latex-box box-purple"><ul><li><b>1 既不是质数也不是合数</b>。</li><li><b>2</b> 是最小的质数，也是唯一的<b>偶质数</b>。</li><li>大于 2 的质数必为<b>奇数</b>。</li><li>质数有无穷多个。</li></ul></div>
管理类联考::第一章::互质数	<b>【定义】互质数</b>	<div class="latex-box box-purple">公约数<b>只有 1</b> 的两个数称为互质数。<br>例如：8 和 9 互质；5 和 7 互质。<br>（注：互质的两个数不一定都是质数）。</div>
管理类联考::第一章::平方根	<b>【定义】平方根</b>	<div class="latex-box box-purple">若 \(x^2 = a\)，则 \(x\) 叫做 \(a\) 的平方根，记作 \(x = \pm\sqrt{a}\)。<ul><li>正数有两个互为相反数的平方根。</li><li>0 的平方根是 0。</li><li>负数没有实数平方根。</li></ul></div>
管理类联考::第一章::算术平方根	<b>【定义】算术平方根</b>	<div class="latex-box box-purple">正数 \(a\) 的<b>正</b>平方根称为算术平方根，记为 \(\sqrt{a}\)。<br>性质：\(\sqrt{a} \ge 0\)。<br>重要恒等式：\(\sqrt{a^2} = |a|\)。</div>
管理类联考::第一章::整除	<b>【定义】整除</b>	<div class="latex-box box-purple">整数 \(a\) 除以非零整数 \(b\)，商为整数且<b>余数为 0</b>。<br>记作 \(b \mid a\) （读作 \(b\) 整除 \(a\)）。</div>
管理类联考::第一章::整除特征	<b>【特征】常见数的整除特征</b>	<div class="latex-box box-green"><ul><li><b>2/5/10</b>：看个位。</li><li><b>4/25</b>：看末两位。</li><li><b>8/125</b>：看末三位。</li><li><b>3/9</b>：看<b>各位数字之和</b>。</li><li><b>6</b>：同时被 2 和 3 整除。</li><li><b>11</b>：<b>奇数位和 - 偶数位和</b> 能被 11 整除。</li></ul></div>
管理类联考::第一章::倍数与约数	<b>【定义】倍数与约数</b>	<div class="latex-box box-purple">若 \(a\) 能被 \(b\) 整除 (\(b \mid a\))：<br>则 \(a\) 是 \(b\) 的<b>倍数</b>，\(b\) 是 \(a\) 的<b>约数</b>（因数）。</div>
管理类联考::第一章::最大公约数与最小公倍数	<b>【定义】最大公约数与最小公倍数</b>	<div class="latex-box box-purple"><ul><li><b>最大公约数 \((a,b)\)</b>：公约数中最大的。</li><li><b>最小公倍数 \([a,b]\)</b>：公倍数中最小的。</li><li><b>核心关系</b>：\((a,b) \times [a,b] = |a \times b|\)。</li></ul></div>
管理类联考::第一章::比	<b>【定义】比</b>	<div class="latex-box box-purple">两个数相除叫做比：\(a:b = \frac{a}{b}\)。<br>\(a\) 为前项，\(b\) 为后项。</div>
